short,备注,bool,float[3],,string,,string,,,,string,string,,string,string,,string,string,string,string,string,string,string,float,int,float, ,string,string,,,,,,
,备注,是否动态模型,模型缩放,模型透明度,模型文件,换皮肤,换材质,模型受击点,DOT受击点,模型门派,武器1,武器1连接,武器1收起link点,武器2,武器2连接,武器2收起link点,附身特效文件,link点名,头发,头,身体,手,脚,碰撞半径,移动方式,移动速度,消失方式,死亡模型文件,出生模型文件,waiting动作个数,头像,3D头像摄像机位置,3D头像摄像机目标位置,,备注
ID,name,dynamic,modelScale,visible,act,replaceSkin,replaceMat,hitPoint,dotHitPoint,party,weapon1,weapon1Link,weapon1DrawInLink,weapon2,weapon2Link,weapon2DrawInLink,linkEffect,linkBone,hairSkin,headSkin,bodySkin,handSkin,footSkin,modelRadius,moveType,moveSpeed,vanishType,deadModel,bornModel,waitingPoseCount,headIcon,headCameraPos,headCameraLookAt,bCache,
1,竹叶青,0,1;1;1,1,mon001,mon001_a,,Bone06,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon002,,,,
2,竹林蛇王,0,1;1;1,1,mon001,,,Bone06,,5,,,,,,,,,,,,,,15,2,80,1,,,1,ic_mon001,,,,
3,蛇首杂役,0,1;1;1,1,mon002,mon002_a,,Bonecat28,,5,iwmon002_a,Bwp01,,,,,,,,,,,,15,2,80,1,,,1,ic_mon002_a,,,,
4,蛇首捕头,0,1;1;1,1,mon002,mon002_a,mon002_b,Bonecat28,,5,iwmon002_b,Bwp01,,,,,,,,,,,,15,2,80,1,,,1,ic_mon002_b,,,,
5,蛇匪头目,0,1;1;1,1,mon002,,,Bonecat28,,5,iwmon002_c,Bwp01,,,,,,,,,,,,15,2,80,1,,,1,ic_mon002_c,,,,
6,飞蜈蚣,0,1;1;1,1,mon003,,,B_mon03_00,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon003,,,,
7,致命蜈蚣,0,1;1;1,1,mon003,,mon003_b,B_mon03_00,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon003_b,,,,
8,鬼火,0,1;1;1,1,mon004,,,Box01,,5,,,,,,,,,,,,,,15,1,80,1,,,1,ic_mon004,,,,
9,噬血魂,0,1;1;1,1,mon005,,,Bmon005_22,,5,,,,,,,,,,,,,,15,1,48,1,,,1,ic_mon005,,,,
10,怨鬼,0,1;1;1,1,mon006,,mon006_a,Bip01,,5,,,,,,,,,,,,,,15,1,80,4,eff_mon006a_die,,1,ic_mon006_a,,,,
11,恶鬼,0,1;1;1,1,mon006,,mon006_b,Bip01,,5,,,,,,,,,,,,,,15,1,80,4,eff_mon006b_die,,1,ic_mon006_b,,,,
12,纨挎子弟,0,1;1;1,1,mon007,,,Bip_mon007,,5,,,,,,,,,,,,,,15,1,75,1,,,1,ic_mon007,,,,
13,恶和尚,0,1;1;1,1,mon008,,mon008_a,Bip_mon008 Spine1,,5,iwmon002_a,Bwp01,,,,,,,,,,,,15,1,94,1,,,1,ic_mon008_a,,,,
14,野狼,0,1;1;1,1,mon009,,mon009_a,B01,,5,,,,,,,,,,,,,,15,2,106,1,,,1,ic_mon009,,,,
